DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6_x,fd_num_7_x,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6_x,norm_cells_7_x,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,fd_num_6_y,fd_num_7_y,fd_num_8,fd_num_9,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,norm_cells_6_y,norm_cells_7_y,norm_cells_8,norm_cells_9,param_1_y,param_2_y,param_3_y,param_4_y
1036,998189,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,0.853878465,1,0.888381155,0.964245502,1,1,0.174349364,20.44328672,-194.685524,0.951084187,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,0.804952612,0.801808154,1,0.90006263,1,0.894220818,1,0.58177964,1.01821558,0.466411303,-131.2766052,-1.21057796
1036,907794,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,0.871819688,0.764440592,0.581707326,0.59769589,0.513188327,0.470671794,2.079568873,-9.566849875,0.530971395,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.93246303,0.956735481,0.902985178,0.918385488,0.729527791,0.651398804,0.720850981,0.551711439,0.642163416,0.470035221,3.182844097,-22.70114732,0.63763974
1036,907795,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,0.996069964,0.996069964,0.79515419,0.819249553,1,0.580680497,7.840089522,-182.1054507,0.871467928,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,1,1,1,-6.016824637,14220.97171,-3.685221787,1
1036,1240173,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.889813975,0.895341313,0.545559074,0.459047576,0.755893427,1.870163568,-19.97660408,0.447053637,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,0.876423317,0.812760215,0.729523558,0.684487515,0.624479612,0.56011511,2.576290951,-9.054837733,0.6221845
1036,908442,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.932142354,0.965805673,1,1,0.973808757,1,1,-0.033515718,1.602819864,-118.4466343,0.981679542,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.887812203,0.86628783,0.836243191,0.876878236,0.86882527,0.89970149,0.835334993,0.873693778,0.854496965,-0.001302543,6.301193263,-31.70872451,0.863821489
1036,908457,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.917973257,0.974883396,0.991977284,1,1,1,1,-0.203589798,0.048407289,0.043979655,0.003137982,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,1,1,1,-6.016824637,14220.97171,-3.685221787,1
1036,909698,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.826231242,0.819619437,0.852546227,0.720905186,0.505194844,4.937630692,-51.36633788,0.797671934,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,0.847551117,0.892073232,0.92438784,0.694115174,8.928879512,-314.221169,0.888004045
1036,1660034,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.995982395,0.995982395,0.955299263,1,0.964988619,0.982421351,1,0.270541475,57.3086477,-132.3560041,0.980541838,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,1,1,1,-6.016824637,14220.97171,-3.685221787,1
1036,1660035,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.972836389,0.933303114,0.980735106,0.917485835,0.964917827,1,0.874023047,1.025530765,0.922031314,-95.87103172,-0.117521866,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.999612539,1,0.997570844,0.965722022,1,1,1,0.950012125,0.999006399,-1.604273036,17.98339662,-2.108894557,0.980318192
1036,910905,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.875168143,1,1,1,1,1,1,0.254369241,16.0215515,240.7032956,0.937584072,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.844522668,0.728831784,0.806568875,0.787748024,0.723377561,0.715422817,0.84147238,0.853984085,0.847192437,0.093029589,4.71864299,-141.8191132,0.788074748
