DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6_x,fd_num_7_x,fd_uM_0_x,fd_uM_1_x,fd_uM_2_x,fd_uM_3_x,fd_uM_4_x,fd_uM_5_x,fd_uM_6_x,fd_uM_7_x,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6_x,norm_cells_7_x,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,fd_uM_0_y,fd_uM_1_y,fd_uM_2_y,fd_uM_3_y,fd_uM_4_y,fd_uM_5_y,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,param_1_y,param_2_y,param_3_y,param_4_y
1373,910900,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.980285134,1,1,0.959037834,0.916571009,0.927180772,0.693048257,13.48051743,-122.3021563,0.921875893,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.935119875,0.963700977,0.767239403,0.845202051,0.811275798,0.348413319,6.263537066,-123.5674123,0.807905734
1373,908473,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,0.929730857,0.926201395,0.824324953,0.91568654,0.901605459,0.274350192,8.575527952,-15.08293239,0.887376248,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.923437234,0.778266405,0.631893938,0.587280235,0.749547195,0.151914981,2.814867954,-10.51453364,0.655080337
1373,687802,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,1,0.912677978,0.891360731,0.952668472,0.976695819,0.462528162,15.00387472,-225.4983326,0.933350772,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,0.965583959,0.983015901,0.811539382,0.905018329,0.566476568,7.677594688,-98.93638581,0.858278871
1373,908475,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.938801382,0.882389953,0.851874777,0.656403496,0.87629449,0.848808116,0.24319974,5.01617481,-12.02089988,0.803483806,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.847400564,0.766138488,0.60206707,0.539204801,0.874132746,-0.063478623,1.496274728,-8.172557797,0.682183725
1373,1298350,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.834862504,0.935852557,1,1,1,0.865605705,1.024183307,0.951922126,-94.40848945,-0.083260662,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.870028643,0.989560249,0.516251768,0.946096607,1,-0.471190444,-24.63705603,-7.339467136,0.859467322
1373,724868,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.911253745,1,0.98883005,0.883050886,0.643338874,0.791410034,1,0.554156953,6.11852885,-119.4738795,0.811582967,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.994580428,0.836968069,0.494319265,0.366973587,0.913085827,0.327391452,2.464081836,-80.03854591,0.591459552
1373,1240185,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.993022028,1,1,0.899826467,1,0.838771427,1.021782815,0.828971142,-99.66097227,-0.221621533,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,0.775308805,0.927725688,1,0.3685028,10.10218224,-213.7708874,0.901011487
1373,908476,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.97884899,1,0.972130502,0.878876274,0.921198728,0.882738399,0.56415315,9.956082405,-145.7425367,0.894271135,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.924770434,0.786393433,0.671499307,0.626548414,0.717884439,0.111951535,2.695359349,-8.660771738,0.666930916
1373,724873,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,0.928269446,0.996203029,0.907341885,0.889038369,0.904750237,1,-0.069137853,12.04448974,-8.936093459,0.932207429,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,0.8541585,0.647224639,0.784361952,1,0.292773993,5.277848043,-70.76388007,0.810528886
1373,1240187,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.884900993,1,1,1,0.91418115,0.880743123,0.830542315,0.639515082,6.877665028,-13.91765288,0.830849326,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,0.878784189,1,0.743260487,1.029843436,0.69350239,-67.52080087,-0.46619879
1373,722045,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.853348269,1,0.970410988,0.902661584,0.69934891,0.791787202,0.970410988,0.560344073,7.384209947,-141.3031677,0.820515713,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,0.871168112,0.576637958,0.454356225,1,0.32667276,3.095956722,-108.0792317,0.676998069
1373,687812,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.974534924,1,1,1,1,1,0.870686733,1.029692141,0.673314007,-93.51715065,-0.48882885,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,0.895593146,1,0.887516722,0.384323471,13.83189019,-146.271666,0.927703301
1373,722046,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,1,1,0.94904136,1,1,1,0.877248249,1.022410536,0.977367509,-93.02594504,-0.030436112,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,0.61789969,0.422383819,0.31452305,0.392341241,1,0.080403398,2.135467361,-73.47171672,0.532312022
1373,724874,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,0,0.01000527,0.031636663,0.100035129,0.316311079,1.000175631,3.162555345,10,1,0.991324413,1,1,1,1,0.965496439,0.902338032,0.843199612,10.39327653,-121.473239,0.902338022,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,0,0.0390625,0.15625,0.625,2.5,10,1,1,1,0.656127107,0.572506235,0.706978867,0.514850624,2.775792721,-99.86000323,0.639742553
