DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6_x,fd_num_7_x,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6_x,norm_cells_7_x,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,fd_num_6_y,fd_num_7_y,fd_num_8,fd_num_9,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,norm_cells_6_y,norm_cells_7_y,norm_cells_8,norm_cells_9,param_1_y,param_2_y,param_3_y,param_4_y
1036,687794,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.843147819,0.924294952,0.875392637,0.888746552,1,1,0.853151623,1.108740027,1.308974248,-0.001407703,0.489838348,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,0.961829514,0.96937458,1,0.898751182,0.940108191,0.45543093,10.374961,-6.581092864,0.904161591
1036,687799,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.95190133,1,1,1,1,0.864359889,0.558038821,0.857417518,2.304440975,-148.2198727,0.55803883,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.783222283,0.783277474,1,1,0.787269634,0.728380672,0.794628455,0.471962565,0.683206711,0.582662489,3.282270067,-11.8448517,0.600937833
1036,908473,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.978070844,1,0.951625972,1,0.948303056,0.898667001,0.991327893,0.672011892,24.42483529,-133.1281829,0.944997425,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,0.815776496,1,1,0.968044706,0.836444301,0.961934487,0.349502826,14.36093793,-405.8592673,0.930366665
1036,687802,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.877254678,0.861317373,0.874070417,0.992000072,1,1,1,0.571017628,10.32637721,174.858497,0.903160617,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,0.804443943,0.838950727,1,0.871209276,1,1,0.768849302,1,0.132808504,11.16465939,-302.3450142,0.910431661
1036,908475,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.873928398,1,0.912234144,0.967881005,0.967881005,0.811293327,0.543368792,0.855191597,2.437328431,-132.5058862,0.543368812,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,0.891133193,1,0.719269674,0.634393758,0.875661647,2.840926033,-165.6046695,0.634393749
1036,1298350,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,0.813361757,0.822403419,0.813361757,0.858570067,0.930948798,0.813361757,0.183051508,6.32916437,-218.2256085,0.842001259,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,1,1,1,-6.016824637,14220.97171,-3.685221787,1
1036,908463,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.95259918,0.959693402,1,1,0.920841454,1,0.767207215,1.026653486,0.53676955,-100.9640989,-0.886834333,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,0.788180203,1,1,1,1,1,0.89875872,0.608772747,0.891001819,2.741605415,-164.201883,0.608772739
1036,924244,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.911721393,0.902531303,1,1,0.911721393,0.920887488,0.884175117,0.679062518,16.57845167,-128.4457637,0.902531285,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,1,1,1,1,1,1,0.990196013,0.949573217,0.929818696,0.74596128,13.83138344,-24.28677553,0.927802171
1036,908476,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.817986904,0.839355308,0.980861629,1,1,0.932789703,0.729887627,0.873742271,4.766131264,-109.3665346,0.729886854,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.885219807,0.787187502,0.958310566,0.875057172,0.845279203,1,0.949093372,0.98011202,0.77063205,1.021457077,0.669503011,-121.0883518,-0.573615849
1036,722045,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.804099416,0.976534864,0.847224393,0.988911539,0.914973797,0.760974438,0.631599506,0.807954664,3.387144344,-28.79240684,0.627709977,2,10,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1,1,0.857774486,0.682009767,1,0.89758603,0.988066811,0.991732443,1,1,1,0.58917565,7.797257662,14.52855346,0.871572135
