DRUG_ID,COSMIC_ID,FOLD_RANGE_x,MAX_CONC_x,fd_num_0_x,fd_num_1_x,fd_num_2_x,fd_num_3_x,fd_num_4_x,fd_num_5_x,fd_num_6,fd_num_7,norm_cells_0_x,norm_cells_1_x,norm_cells_2_x,norm_cells_3_x,norm_cells_4_x,norm_cells_5_x,norm_cells_6,norm_cells_7,param_1_x,param_2_x,param_3_x,param_4_x,DILUTION_FACTOR_y,MAX_CONC_y,fd_num_0_y,fd_num_1_y,fd_num_2_y,fd_num_3_y,fd_num_4_y,fd_num_5_y,norm_cells_0_y,norm_cells_1_y,norm_cells_2_y,norm_cells_3_y,norm_cells_4_y,norm_cells_5_y,param_1_y,param_2_y,param_3_y,param_4_y
1373,1298157,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.979537164,0.976389035,0.951320604,0.966983515,0.327369274,24.58291605,-11.58943924,0.96026059,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.944260835,0.817214702,0.593716859,0.443066949,0.798671737,0.324908121,2.775373179,-87.67959102,0.611818512
1373,905946,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,0.8251104,0.891569416,0.787877536,0.607152181,6.05519151,-231.3732384,0.834852457,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.993580698,1,0.993645214,1,0.613448614,1.01836073,0.692060187,-75.39909145,-0.447515819
1373,1330941,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.916833038,0.943691566,0.836351037,0.818476546,0.818476546,0.916833038,0.961566057,-0.126479721,4.886112948,-9.551158482,0.876348721,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.992479401,0.980792251,0.846268201,0.778510318,0.826966482,0.390135245,5.188620808,-17.69356573,0.802808664
1373,1240172,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,1,1,1,-4.342314668,4744.818841,-5.060534471,1,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.818375703,0.761373361,0.773456755,1,0.172294906,6.184347354,-135.6688537,0.83830145
1373,908123,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,0.878033756,0.853482353,0.709697009,0.896861466,1.758719706,-6.199316071,0.439884013,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,0.854807575,1,0.91398451,0.383700454,12.97525629,-142.9013201,0.922930698
1373,910948,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.99553357,0.865383332,0.937533356,1,0.570795402,15.22198999,-163.7317402,0.934305569,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,0.940481228,0.714653787,0.647269719,0.942379243,0.329062296,4.312220587,-93.19303019,0.768100917
1373,909256,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,0.985152442,1,0.809302683,1.030822455,0.501459467,-95.68932196,-0.996300139,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.957509308,0.859718545,0.875881932,0.80766895,0.856779692,-0.008102517,5.29992152,-10.91489513,0.844337903
1373,905945,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.994613813,0.955405031,0.907150944,0.771471365,1.299451335,0.696485501,-6.72433785,-0.433094325,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.974004164,1,0.926231957,0.810661338,0.842006509,0.541021598,6.060576442,-94.51083997,0.82633391
1373,909778,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,1,0.929682994,0.831204537,0.958833341,1,0.453442677,14.27148564,-291.1029681,0.92993021,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,1,1,1,1,1,-3.655459714,15456.95791,-5.914921649,1
1373,909907,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1,1,0.970124809,0.96185926,1,1,1,0.295928205,73.51218717,-436.0239029,0.986396813,4,10,0,0.111111111,0.333333333,0.555555556,0.777777778,1,1,0.983621749,0.975415309,0.970666872,0.900819479,0.918956306,0.541404469,13.07910873,-85.93183783,0.90988788
